"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
22504625;"2022.10.26 17:39:30";26.10.2022;"17:39:30";"sell";0,04;".de40cash";13.161,00;0,00;0,00;"2022.10.26 18:15:12";26.10.2022;"18:15:12";13.190,20;"0.00";"0.00";0,00;-1,17
22505594;"2022.10.26 17:44:07";26.10.2022;"17:44:07";"sell";0,04;".de40cash";13.169,30;0,00;0,00;"2022.10.26 18:15:12";26.10.2022;"18:15:12";13.190,10;"0.00";"0.00";0,00;-0,83
22508425;"2022.10.26 18:02:11";26.10.2022;"18:02:11";"sell";0,04;".de40cash";13.168,20;0,00;0,00;"2022.10.26 18:03:21";26.10.2022;"18:03:21";13.174,10;"0.00";"0.00";0,00;-0,24
22509251;"2022.10.26 18:07:21";26.10.2022;"18:07:21";"sell";0,04;".de40cash";13.174,00;0,00;0,00;"2022.10.26 18:15:12";26.10.2022;"18:15:12";13.190,20;"0.00";"0.00";0,00;-0,65
22511123;"2022.10.26 18:18:26";26.10.2022;"18:18:26";"buy";0,13;".de40cash";13.183,50;0,00;0,00;"2022.10.26 18:38:47";26.10.2022;"18:38:47";13.200,50;"0.00";"0.00";0,00;2,21
22511982;"2022.10.26 18:21:43";26.10.2022;"18:21:43";"buy";0,07;".de40cash";13.189,20;0,00;0,00;"2022.10.26 18:29:20";26.10.2022;"18:29:20";13.196,10;"0.00";"0.00";0,00;0,48
22512671;"2022.10.26 18:24:22";26.10.2022;"18:24:22";"buy";0,07;".de40cash";13.183,20;0,00;0,00;"2022.10.26 18:29:09";26.10.2022;"18:29:09";13.193,50;"0.00";"0.00";0,00;0,72
22536738;"2022.10.27 09:24:37";27.10.2022;"09:24:37";"sell";0,04;".de40cash";13.148,00;0,00;0,00;"2022.10.27 09:34:40";27.10.2022;"09:34:40";13.140,90;"0.00";"0.00";0,00;0,28
22537337;"2022.10.27 09:25:45";27.10.2022;"09:25:45";"sell";0,04;".de40cash";13.153,20;0,00;0,00;"2022.10.27 09:34:37";27.10.2022;"09:34:37";13.140,90;"0.00";"0.00";0,00;0,49
22539360;"2022.10.27 09:59:23";27.10.2022;"09:59:23";"buy";0,04;".de40cash";13.137,00;0,00;0,00;"2022.10.27 10:00:06";27.10.2022;"10:00:06";13.141,30;"0.00";"0.00";0,00;0,17
22540401;"2022.10.27 10:03:03";27.10.2022;"10:03:03";"sell";0,04;".de40cash";13.167,80;0,00;0,00;"2022.10.27 10:04:44";27.10.2022;"10:04:44";13.159,50;"0.00";"0.00";0,00;0,33
22541922;"2022.10.27 10:21:32";27.10.2022;"10:21:32";"sell";0,04;".de40cash";13.159,80;0,00;0,00;"2022.10.27 10:24:20";27.10.2022;"10:24:20";13.156,60;"0.00";"0.00";0,00;0,13
